"country","mean","se","l","u","age"
"Sri Lanka",0.00537987076953605,0.00404664940401271,0.000867752957996451,0.0160848472797578,"18-19"
"Sudan",0.00692509723660463,0.00503794384739177,0.00118502135046893,0.0201274448718641,"18-19"
"Suriname",0.0114775578226537,0.00966626597084601,0.00195273923880556,0.0361623751793114,"18-19"
"Swaziland",0.00645310681003049,0.00509341833236105,0.0010814995712171,0.0193008663806008,"18-19"
"Sweden",0.00347150457569447,0.00245078856669106,0.000458038060994299,0.00956970065270127,"18-19"
"Switzerland",0.00312819966763291,0.00239423999323877,0.000369756276730924,0.00907268457122227,"18-19"
"Syrian Arab Republic",0.018143238516536,0.0144628798597476,0.00433085961617374,0.0564026269443677,"18-19"
"Taiwan",0.00632978414208144,0.00520706579297727,0.000812841052092389,0.0190276200051549,"18-19"
"Tajikistan",0.0107803783692224,0.00927910037062206,0.00195506491677726,0.0351277596435243,"18-19"
"Tanzania",0.00414726833472306,0.0031169424429886,0.000661703913246878,0.0113551469523415,"18-19"
"Thailand",0.00740214489339425,0.00522728592472237,0.00158300519920442,0.02090430142834,"18-19"
"Timor-Leste",0.00331298758075851,0.00248706461445999,0.000383989571908888,0.00959970994228359,"18-19"
"Togo",0.00558343720431935,0.0041262359823587,0.000891374880083597,0.0163939272750488,"18-19"
"Tokelau",0.0652263715317505,0.0615031701268104,0.00811494073454782,0.230800521728004,"18-19"
"Tonga",0.0447213034543945,0.0413396122965993,0.00714084755932428,0.158637841385916,"18-19"
"Trinidad and Tobago",0.011360753065986,0.0113255650505493,0.00139900053634603,0.0392653887715469,"18-19"
"Tunisia",0.0139800862853737,0.0105531315703966,0.00348915567724651,0.0400221757803604,"18-19"
"Turkey",0.0152805065772568,0.0105473698293316,0.00421624702897602,0.0427999895799912,"18-19"
"Turkmenistan",0.0151165166434915,0.0125628429651919,0.00346666859955176,0.0462394870474096,"18-19"
"Tuvalu",0.0491030003461283,0.0439824774168714,0.00745409100751538,0.162839326782695,"18-19"
"Uganda",0.00254531151223041,0.00208772410760269,0.000228271761291933,0.00797914644959388,"18-19"
"Ukraine",0.0058645027944736,0.00513130348672011,0.000680502113588912,0.018801173148008,"18-19"
"United Arab Emirates",0.0199706772155227,0.0152600893307264,0.00474679044424014,0.0616859934238142,"18-19"
"United Kingdom",0.00459403067388892,0.00262178177135909,0.00107057584596464,0.0108907554436729,"18-19"
"United States of America",0.00603550315879482,0.00409692806893704,0.00142196518531477,0.0156274366423479,"18-19"
"Uruguay",0.00809887390640619,0.00637013173264299,0.00147909571754671,0.0236009614245154,"18-19"
"Uzbekistan",0.0107260801412613,0.00794647775036593,0.0023692995619594,0.0315250370043141,"18-19"
"Vanuatu",0.0241553983796586,0.0243990053196388,0.00409629524126887,0.0900454778070564,"18-19"
"Venezuela",0.00900171276421828,0.00661068561641324,0.00172858465127895,0.0264056027336929,"18-19"
"Viet Nam",0.00359506564239076,0.00261672534883749,0.000503148254056784,0.01020497925935,"18-19"
"Yemen",0.0156447883857161,0.0141745272532694,0.00293417222288301,0.052205130285178,"18-19"
"Zambia",0.0045650473633376,0.003487250445769,0.000605220059058976,0.0131628892831147,"18-19"
"Zimbabwe",0.00467426923510489,0.00373518017049943,0.000599652367185889,0.0141793051776129,"18-19"
"Afghanistan",0.0155453187279686,0.00799133680379217,0.00545930855925111,0.0355877345599067,"20-24"
"Albania",0.00873935092350358,0.00459883718915931,0.0024559111417543,0.0197857804490738,"20-24"
